ISO2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MY,,,,,,,,0.45,0.54,0.54,0.54,0.54,31.58,138.67,203.86,263.87,341.69,391.38,537.63,886.15,1475.15,1779.3,1925.41
MV,,,,,,,,,,,,,,,,,,,,,,,
ML,,,,,,,,,,,,,,,,0.97,1.23,1.84,1.84,1.84,52.04,52.04,55.94
MT,,,,,,0.1,0.1,0.1,0.2,0.9,0.8,5.3,15.7,28.5,54.6,74.8,93.6,111.76,131.89,155.19,187.9,205.66,221.0
MH,,,,,,,,,,0.06,0.06,0.06,0.11,0.11,0.38,0.38,0.98,0.98,0.98,0.98,0.98,0.98,1.04
MQ,,,,,,,2.5,4.0,7.3,14.2,26.4,48.0,60.0,62.0,62.5,65.4,66.9,68.4,71.0,75.85,76.03,78.3,78.3
MR,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,15.0,65.78,66.3,66.3,66.3,67.8
MU,,,,,,,,,,,,,1.45,2.46,2.74,18.37,24.73,29.47,71.11,94.55,103.54,106.29,106.29
YT,,,,,,,,,0.51,1.81,8.34,12.44,13.07,13.14,13.24,13.33,13.33,15.15,15.73,16.81,18.57,30.03,30.03
MX,14.0,15.0,16.0,16.0,16.0,16.0,16.0,19.0,19.0,25.15,29.81,42.4,72.8,109.0,174.34,287.0,632.6,1125.74,2566.0,4724.59,6692.08,8154.0,9330.24
FM,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.18,0.18,0.23,0.23,0.23,0.23,0.3,0.75,0.75,1.35,1.35,2.1,2.5,2.5,2.5,2.5
MN,,,,,,,,,,,,,,0.43,0.43,0.43,10.43,43.13,59.63,84.63,90.0,90.2,90.2
ME,,,,,,,,,,,,,,,,,,,,,2.57,2.57,22.2
MS,,,,,,,,,,,,,,,,,,,,0.25,0.25,1.0,1.0
MA,,,,,,,,0.05,0.05,0.05,0.05,0.17,0.17,0.17,0.8,1.0,1.0,1.0,171.0,171.0,211.0,291.0,291.0
MZ,,,,,,,,,,,,,,,,,,1.03,0.82,41.0,41.0,41.0,82.0
MM,,,,,,,,,,,,,,,,,,,,40.0,40.0,40.0,62.9
NA,,,,,,,,,,,,,0.37,1.19,2.29,6.79,21.79,60.59,77.09,127.59,127.59,127.59,152.59
NR,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.2,0.2,0.2,0.7,0.7,0.81,2.31,2.32,2.75,3.01
NP,,,,,,,,,,,,0.68,0.68,0.68,0.68,0.68,0.68,1.68,1.68,1.68,11.43,36.68,54.72
NL,13.0,21.0,26.0,46.0,50.0,51.0,53.0,54.0,59.0,69.0,90.0,149.0,287.0,650.0,1007.0,1526.26,2135.02,2910.89,4608.0,7226.0,11108.43,14910.69,18848.69
NC,,,,,,0.06,0.06,0.06,0.06,0.06,2.16,2.69,2.69,2.69,2.94,6.29,9.59,26.73,38.83,74.23,94.9,125.23,134.9
NZ,,,,,,,,3.0,3.0,3.0,3.0,3.0,4.0,9.0,22.0,37.0,53.0,71.0,91.0,115.0,144.0,191.0,256.6
NI,,,,,,,,,,,,,,1.38,1.38,1.38,1.38,13.96,13.96,13.96,13.96,13.89,13.89
NE,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,42.0
NG,,,,,,,,,,,,,,,,,1.2,1.52,1.52,1.52,1.52,5.76,9.72
NU,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.34,0.34,0.34,0.34,0.34,0.94,0.94,0.94,0.94
MK,,,,,,,,,,,,2.0,4.0,7.0,15.0,17.0,16.7,16.7,16.7,16.71,84.93,84.93,84.93
NO,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.3,8.7,9.1,9.5,10.0,11.0,13.0,15.0,26.7,44.9,53.11,102.53,141.53,186.53,302.53
OM,,,,,,,,,,,,,,0.7,0.7,2.2,2.2,8.2,25.78,26.23,129.08,155.08,655.08
PK,,,,,,,,0.14,1.14,6.67,9.25,18.6,45.57,100.34,164.91,264.91,588.91,642.91,666.91,740.91,837.91,1060.91,1226.91
PW,,,,,,0.03,0.03,0.03,0.28,0.28,0.29,0.58,0.67,0.75,1.13,1.13,1.93,1.93,2.33,2.38,2.38,3.8,3.8
PA,,,,,,,,,,,,,,,2.4,45.6,89.3,143.0,184.39,218.75,229.19,464.86,550.68
PG,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.45
PY,,,,,,,,,,,,,,,,,,,,,,,
PE,,,,,,,,,,,,,80.0,80.0,96.0,96.0,100.0,244.48,284.48,289.02,289.02,286.54,286.54
PH,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,26.25,170.7,782.25,906.2,913.77,969.43,1045.16,1363.92,1611.45
PL,,,,,,,,,,,,1.11,1.3,2.39,27.15,107.78,187.25,287.09,561.98,1539.26,3954.96,7415.52,11166.52
PT,1.0,1.0,1.0,2.0,2.0,2.0,3.0,24.0,59.0,115.0,134.0,169.6,235.6,293.6,412.6,441.75,493.05,539.42,617.85,832.74,1010.07,1474.78,2364.78
PR,,,,,,,,,,,4.54,18.27,43.51,73.91,78.7,208.95,243.6,302.4,305.33,336.96,381.0,487.53,639.34
QA,,,,,,,,,,,,0.67,0.67,2.29,3.97,3.97,5.1,5.1,5.1,5.1,5.1,5.1,805.1
KR,4.0,5.0,5.0,6.0,9.0,14.0,36.0,81.0,357.0,524.0,650.0,730.0,1024.0,1555.0,2620.0,3845.0,4882.0,6435.0,8921.0,12717.0,17323.0,21264.0,24078.15
MD,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,3.0,5.0,4.3,14.48,60.13
RO,,,,,,,,,0.1,0.1,0.1,1.0,41.0,761.0,1293.0,1326.0,1372.0,1374.13,1385.82,1397.71,1382.54,1393.92,1413.92
RU,,,,,,,,,,,0.01,0.02,0.09,1.26,5.0,60.2,75.2,224.2,534.2,1275.2,1426.7,1659.9,1814.78
RW,,,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,9.0,9.05,9.05,12.35,12.35,12.35,12.35,12.35,12.35
RE,,,,,0.26,0.53,3.0,5.8,10.0,42.5,89.3,131.1,153.0,156.0,167.0,186.6,186.4,187.8,190.4,197.6,206.0,223.0,223.0
BL,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.04,0.04,0.04
KN,,,,,,,,,,,0.06,0.18,0.18,1.43,1.43,1.43,1.93,1.93,1.96,2.01,3.01,3.01,3.01
LC,,,,,,,,,,0.01,0.02,0.02,0.05,0.06,0.1,0.76,0.84,0.84,3.84,3.84,3.84,3.84,3.84
MF,,,,,,,,,,,,,,1.4,1.6,2.6,1.8,0.1,0.1,0.5,1.0,1.0,1.0
PM,,,,,,,,,,,,,,,,,,,,,,,
VC,,,,,,,,,,,,0.08,0.09,0.26,0.82,2.52,2.61,2.68,2.71,3.4,3.57,3.64,3.71
WS,,,,,,,,,,,,,,0.15,3.08,4.77,7.22,13.51,13.51,13.51,13.51,13.51,13.51
ST,,,,,,,,,,,,,,,,,,,,,,,
SA,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,2.35,2.85,13.55,22.45,24.25,24.25,24.25,34.37,34.37,59.37,59.37,389.37,389.87
SN,,,,,,,,,,,,,,,2.0,2.0,31.0,102.0,143.0,166.0,166.0,232.5,255.5
RS,,,,,,0.1,0.2,0.4,0.9,1.2,1.3,1.5,3.1,4.7,6.0,9.0,11.0,10.0,11.0,11.0,11.5,11.94,11.94
SC,,,,,,,,,,,,,,0.21,0.89,1.35,1.88,2.58,3.09,3.09,5.88,12.38,17.38
SL,,,,,,,,,,,,,,,,,,,0.12,0.13,0.13,0.13,5.13
SG,,,,,,,,,0.28,1.5,3.0,4.6,7.8,11.8,25.3,45.7,96.6,115.6,160.9,272.1,332.5,487.0,571.6
SX,,,,,,,,,,,,,,,,,,,,,,,
SK,,,,,,,,,,,19.0,496.0,513.0,533.0,533.0,533.0,533.0,528.0,472.0,590.0,535.0,537.0,537.0
SI,1.0,1.0,,,,0.05,0.19,0.59,1.0,4.0,12.0,57.0,142.0,187.0,223.0,238.0,233.0,246.8,246.8,277.88,369.78,461.16,632.16
SB,,,,,,,,,,,,,,,0.05,0.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
SO,,,,,,,,,,,,,,,,,,,,,,,
ZA,,,,,,,,,,,1.96,5.66,11.3,261.63,1061.9,1250.66,1973.03,3145.73,4399.93,4402.58,5489.17,5810.68,5820.68
GS,,,,,,,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,,,,,,,12.0
ES,1.0,3.0,6.0,10.0,19.0,37.0,113.0,476.0,3365.0,3403.0,3851.0,4260.0,4545.0,4665.0,4672.0,4677.0,4687.0,4696.0,4730.7,8772.02,10100.42,13678.4,18176.73
LK,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,1.36,1.36,4.71,14.63,29.07,71.78,148.36,222.36,342.36,423.36,616.36,706.36
PS,,,,,,,,,,,,0.35,0.6,0.6,3.0,12.0,25.0,35.0,40.0,80.0,115.5,176.0,190.0
SD,,,,,,,,,,,,,,,,,,,0.01,0.29,0.29,0.29,54.29
SR,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,8.1
