,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
6174,transf_1224_0,1882,1883,69000,138000,PH,"LINESTRING (124.8841 8.3835, 124.8851 8.3845)","MULTIPOINT ((124.8841 8.3835), (124.8851 8.3845))",POINT (124.8841 8.3835),POINT (124.8851 8.3845),124.8841,8.3835,124.8851,8.3845
6175,transf_1226_0,1885,1886,69000,230000,PH,"LINESTRING (120.5632 14.5257, 120.5642 14.5267)","MULTIPOINT ((120.5632 14.5257), (120.5642 14.5267))",POINT (120.5632 14.5257),POINT (120.5642 14.5267),120.5632,14.5257,120.5642,14.5267
6176,transf_1226_1,1886,1887,230000,500000,PH,"LINESTRING (120.5642 14.5267, 120.5652 14.5277)","MULTIPOINT ((120.5642 14.5267), (120.5652 14.5277))",POINT (120.5642 14.5267),POINT (120.5652 14.5277),120.5642,14.5267,120.5652,14.5277
6177,transf_1227_0,1888,1889,230000,500000,PH,"LINESTRING (121.7585 13.9831, 121.7595 13.9841)","MULTIPOINT ((121.7585 13.9831), (121.7595 13.9841))",POINT (121.7585 13.9831),POINT (121.7595 13.9841),121.7585,13.9831,121.7595,13.9841
6178,transf_1228_0,1890,1891,69000,230000,PH,"LINESTRING (121.6815 18.1279, 121.6825 18.1289)","MULTIPOINT ((121.6815 18.1279), (121.6825 18.1289))",POINT (121.6815 18.1279),POINT (121.6825 18.1289),121.6815,18.1279,121.6825,18.1289
6179,transf_1231_0,1894,1895,230000,500000,PH,"LINESTRING (120.5685 16.8361, 120.5695 16.8371)","MULTIPOINT ((120.5685 16.8361), (120.5695 16.8371))",POINT (120.5685 16.8361),POINT (120.5695 16.8371),120.5685,16.8361,120.5695,16.8371
6180,transf_1233_0,1897,1898,69000,138000,PH,"LINESTRING (122.9876 10.6296, 122.9886 10.6306)","MULTIPOINT ((122.9876 10.6296), (122.9886 10.6306))",POINT (122.9876 10.6296),POINT (122.9886 10.6306),122.9876,10.6296,122.9886,10.6306
6181,transf_1233_1,1898,1899,138000,230000,PH,"LINESTRING (122.9886 10.6306, 122.9896 10.6316)","MULTIPOINT ((122.9886 10.6306), (122.9896 10.6316))",POINT (122.9886 10.6306),POINT (122.9896 10.6316),122.9886,10.6306,122.9896,10.6316
6182,transf_1235_0,1901,1902,115000,230000,PH,"LINESTRING (121.3368 14.3954, 121.3378 14.3964)","MULTIPOINT ((121.3368 14.3954), (121.3378 14.3964))",POINT (121.3368 14.3954),POINT (121.3378 14.3964),121.3368,14.3954,121.3378,14.3964
6183,transf_1237_0,1904,1905,69000,230000,PH,"LINESTRING (120.9716 15.776, 120.9726 15.777)","MULTIPOINT ((120.9716 15.776), (120.9726 15.777))",POINT (120.9716 15.776),POINT (120.9726 15.777),120.9716,15.776,120.9726,15.777
