time,ZM0 0,ZM0 1,ZM0 2,ZM0 3,ZM0 4,ZM0 5,ZM0 6,ZM0 7,ZM0 8,ZM0 9
41279.125,2.314441529,39.79026464,13.64329042,29.56204966,10.24294728,2.908323145,0.119580204,2.109206437,1.371433468,16.06054833
41279.16667,2.360560689,40.58315292,13.91515604,30.15112346,10.44705532,2.966276399,0.121963042,2.15123594,1.398761598,16.38058189
41279.20833,2.588443669,44.50095511,15.2584925,33.06184206,11.45558948,3.252633751,0.133737068,2.358911201,1.533794755,17.96192477
41279.25,2.823580278,48.5434629,16.64458802,36.06521026,12.49622579,3.548105999,0.145885866,2.573196869,1.673126084,19.59360257
41279.29167,2.867805715,49.30379398,16.90529043,36.63009581,12.69195285,3.603679605,0.148170861,2.613500578,1.69933208,19.90049508
41279.33333,2.866705744,49.2848831,16.89880626,36.61604603,12.68708474,3.602297384,0.148114029,2.612498148,1.698680287,19.89286208
41279.375,2.840790049,48.83933615,16.74603708,36.28502835,12.57239051,3.569731767,0.146775043,2.588880549,1.683323817,19.71302592
41279.41667,2.841474752,48.85110767,16.7500733,36.29377396,12.57542077,3.570592163,0.146810419,2.589504535,1.683729541,19.71777726
41279.45833,2.837829872,48.78844429,16.72858727,36.2472184,12.55928975,3.566012014,0.1466221,2.586182868,1.68156975,19.69248444
41279.5,2.840905801,48.84132618,16.74671942,36.28650684,12.57290279,3.569877221,0.146781024,2.588986037,1.683392407,19.71382916
41279.54167,2.840905801,48.84132618,16.74671942,36.28650684,12.57290279,3.569877221,0.146781024,2.588986037,1.683392407,19.71382916
41279.58333,2.847053082,48.94701126,16.78295673,36.36502523,12.60010861,3.577601884,0.147098635,2.594588203,1.687035008,19.75648684
41279.625,2.900216928,49.86101295,17.09634973,37.04407986,12.83539408,3.644407478,0.14984545,2.643037698,1.7185375,20.12540543
41279.66667,3.228258737,55.50076242,19.03010767,41.23411366,14.28719785,4.056624237,0.16679438,2.941990118,1.912920253,22.40177805
41279.70833,3.257515217,56.00374471,19.20257029,41.60780274,14.41667729,4.093387878,0.168305974,2.968652254,1.930256321,22.60479684
41279.75,3.21352063,55.24738244,18.94322871,41.04586582,14.2219719,4.038104358,0.166032906,2.928558925,1.904187117,22.29950626
41279.79167,3.023892376,51.98726188,17.8253982,38.62376969,13.38274042,3.799817828,0.156235387,2.75574612,1.791821982,20.98362349
41279.83333,2.715267147,46.68132548,16.00609814,34.68174124,12.01686795,3.411999909,0.140289654,2.474488498,1.608944617,18.84198787
41279.875,2.396032789,41.19299519,14.12425883,30.60420383,10.60404302,3.010850579,0.123795778,2.183562522,1.419780762,16.62673259
