,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
4063,Shiga Prefecture Maibara Solar,Solar,PV,PP,JP,4,,,,,,2022,2022,2042,35.31415,136.3415,"{nan, nan}","{'GEM': {'G100001042907', 'G100001042901'}}",286
4064,Shiga Prefecture Maibara Solar,Solar,PV,PP,JP,1.9,,,,,,2014,2014,2033,35.3027,136.2606,{nan},{'GEM': {'G100001042810'}},286
4065,Shiga Prefecture Moriyama Solar,Solar,PV,PP,JP,2,,,,,,2015,2015,2034,35.1153,135.9541,{nan},{'GEM': {'G100001042830'}},2040
4066,Shiga Prefecture Nagahama City Solar,Solar,PV,PP,JP,1,,,,,,2014,2014,2034,35.4683,136.2307,{nan},{'GEM': {'G100001042848'}},2400
4067,Shiga Prefecture Nagahama City Solar,Solar,PV,PP,JP,2,,,,,,2016,2016,2036,35.5394,136.1184,{nan},{'GEM': {'G100001042875'}},1086
4068,Shiga Prefecture Nagahama City Solar,Solar,PV,PP,JP,2.5,,,,,,2015,2015,2044,35.40145,136.26385,"{nan, nan}","{'GEM': {'G100001042804', 'G100001042854'}}",1195
4069,Shiga Prefecture Omihachiman Solar,Solar,PV,PP,JP,1.3,,,,,,2020,2020,2039,35.1319,136.0332,{nan},{'GEM': {'G100001042924'}},302
4070,Shiga Prefecture Omihachiman Solar,Solar,PV,PP,JP,4.3,,,,,,2013,2013,2040,35.11565,136.13985,"{nan, nan}","{'GEM': {'G100001042814', 'G100001042897'}}",302
4071,Shiga Prefecture Otsu Solar,Solar,PV,PP,JP,1,,,,,,2014,2014,2034,34.9584,135.9944,{nan},{'GEM': {'G100001042847'}},1084
4072,Shiga Prefecture Otsu Solar,Solar,PV,PP,JP,4,,,,,,2015,2015,2038,35.1608,135.901966666667,"{nan, nan, nan}","{'GEM': {'G100001042831', 'G100001042889', 'G100001042832'}}",2040
4073,Shiga Prefecture Otsu Solar,Solar,PV,PP,JP,2.3,,,,,,2016,2016,2036,34.92205,135.88495,"{nan, nan}","{'GEM': {'G100001042887', 'G100001042876'}}",107
4074,Shiga Prefecture Otsu Solar,Solar,PV,PP,JP,1.2,,,,,,2016,2016,2036,35.0908,135.8927,{nan},{'GEM': {'G100001042871'}},1682
4075,Shiga Prefecture Ritto Solar,Solar,PV,PP,JP,3.1,,,,,,2017,2017,2042,34.97655,136.02835,"{nan, nan}","{'GEM': {'G100001042921', 'G100001042894'}}",1084
4076,Shiga Prefecture Ryuo Solar,Solar,PV,PP,JP,4.3,,,,,,2015,2015,2037,35.0565,136.1325,"{nan, nan, nan}","{'GEM': {'G100001042891', 'G100001042886', 'G100001042851'}}",302
4077,Shiga Prefecture Taga Solar,Solar,PV,PP,JP,3.2,,,,,,2016,2016,2040,35.21065,136.2947,"{nan, nan}","{'GEM': {'G100001042859', 'G100001042898'}}",286
4078,Shiga Prefecture Takashima City Solar,Solar,PV,PP,JP,1.3,,,,,,2014,2014,2034,35.3478,136.0579,{nan},{'GEM': {'G100001042834'}},1946
4079,Shiga Prefecture Takashima City Solar,Solar,PV,PP,JP,4,,,,,,2014,2014,2035,35.30295,136.0242,"{nan, nan}","{'GEM': {'G100001042815', 'G100001042813'}}",2041
4080,Shiga Prefecture Takashima City Solar,Solar,PV,PP,JP,2,,,,,,2014,2014,2034,35.3963,136.0257,{nan},{'GEM': {'G100001042820'}},1946
