,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
2019,2019,1347,150000,False,substation,False,transmission,0.0,98.7289,1.7521,ID,POINT (98.7289 1.7521),True
2020,2020,1348,150000,False,substation,False,transmission,0.0,99.0438,1.4889,ID,POINT (99.0438 1.4889),True
2021,2021,1349,150000,False,substation,False,transmission,0.0,98.755,3.6875,ID,POINT (98.755 3.6875),True
2022,2022,1350,150000,False,substation,False,transmission,0.0,114.8525,-8.2044,ID,POINT (114.8525 -8.2044),True
2023,2023,1351,150000,False,substation,False,transmission,0.0,122.0058,0.4769,ID,POINT (122.0058 0.4769),True
2024,2024,1352,150000,False,substation,False,transmission,0.0,111.3718,-8.2559,ID,POINT (111.3718 -8.2559),True
2025,2025,1353,150000,False,substation,False,transmission,0.0,106.4692,-6.0655,ID,POINT (106.4692 -6.0655),True
2026,2026,1354,150000,False,substation,False,transmission,0.0,103.6882,-3.7216,ID,POINT (103.6882 -3.7216),True
2027,2027,1355,150000,False,substation,False,transmission,0.0,98.5741,3.3261,ID,POINT (98.5741 3.3261),True
2028,2028,1356,275000,False,substation,False,transmission,0.0,99.0037,2.7443,ID,POINT (99.0037 2.7443),True
2029,2029,1357,150000,False,substation,False,transmission,0.0,103.6482,-3.7526,ID,POINT (103.6482 -3.7526),True
2030,2030,1358,150000,False,substation,False,transmission,0.0,101.29,0.8638,ID,POINT (101.29 0.8638),True
2031,2031,1359,230000,False,substation,False,transmission,0.0,136.8956,-4.5337,ID,POINT (136.8956 -4.5337),True
2032,2032,1360,500000,False,substation,False,transmission,0.0,106.4287,-6.3589,ID,POINT (106.4287 -6.3589),True
2033,2033,1361,150000,False,substation,False,transmission,0.0,105.7146,-5.3122,ID,POINT (105.7146 -5.3122),True
2034,2034,1362,150000,False,substation,False,transmission,0.0,105.3059,-5.3622,ID,POINT (105.3059 -5.3622),True
2035,2035,1363,500000,False,substation,False,transmission,0.0,108.6054,-7.4435,ID,POINT (108.6054 -7.4435),True
2036,2036,1364,70000,False,substation,False,transmission,0.0,111.536,-7.8287,ID,POINT (111.536 -7.8287),True
2037,2037,1364,150000,False,substation,False,transmission,0.0,111.537,-7.8277,ID,POINT (111.537 -7.8277),False
2038,2038,1365,70000,False,substation,False,transmission,0.0,112.6375,-8.0982,ID,POINT (112.6375 -8.0982),True
2039,2039,1366,70000,False,substation,False,transmission,0.0,106.5557,-7.0038,ID,POINT (106.5557 -7.0038),True
2040,2040,1366,150000,False,substation,False,transmission,0.0,106.5567,-7.0028,ID,POINT (106.5567 -7.0028),False
2041,2041,1367,150000,False,substation,False,transmission,0.0,111.4038,-6.8681,ID,POINT (111.4038 -6.8681),True
2042,2042,1368,150000,False,substation,False,transmission,0.0,110.4679,-7.845,ID,POINT (110.4679 -7.845),True
2043,2043,1369,150000,False,substation,False,transmission,0.0,115.102,-8.5867,ID,POINT (115.102 -8.5867),True
2044,2044,1370,132000,False,substation,False,transmission,0.0,110.3499,1.3526,MY,POINT (110.3499 1.3526),True
2045,2045,1370,275000,False,substation,False,transmission,0.0,110.3509,1.3536,MY,POINT (110.3509 1.3536),False
2046,2046,1371,150000,False,substation,False,transmission,0.0,108.939,0.8316,ID,POINT (108.939 0.8316),True
2047,2047,1372,150000,False,substation,False,transmission,0.0,125.7347,-9.153,TL,POINT (125.7347 -9.153),True
2048,2048,1373,150000,False,substation,False,transmission,0.0,106.7387,-6.3832,ID,POINT (106.7387 -6.3832),True
2049,2049,1373,500000,False,substation,False,transmission,0.0,106.7397,-6.3822,ID,POINT (106.7397 -6.3822),False
2050,2050,1374,150000,False,substation,False,transmission,0.0,96.1972,4.1093,ID,POINT (96.1972 4.1093),True
2051,2051,1374,275000,False,substation,False,transmission,0.0,96.1982,4.1103,ID,POINT (96.1982 4.1103),False
2052,2052,1375,70000,False,substation,False,transmission,0.0,104.8798,-2.9332,ID,POINT (104.8798 -2.9332),True
2053,2053,1375,150000,False,substation,False,transmission,0.0,104.8808,-2.9322,ID,POINT (104.8808 -2.9322),False
2054,2054,1376,150000,False,substation,False,transmission,0.0,104.8187,-2.4275,ID,POINT (104.8187 -2.4275),True
2055,2055,1377,150000,False,substation,False,transmission,0.0,104.1809,-2.8439,ID,POINT (104.1809 -2.8439),True
2056,2056,1377,275000,False,substation,False,transmission,0.0,104.1819,-2.8429,ID,POINT (104.1819 -2.8429),False
2057,2057,1378,150000,False,substation,False,transmission,0.0,114.9809,-1.7498,ID,POINT (114.9809 -1.7498),True
2058,2058,1379,150000,False,substation,False,transmission,0.0,128.2224,-3.6885,ID,POINT (128.2224 -3.6885),True
2059,2059,1380,70000,False,substation,False,transmission,0.0,124.8659,-9.0871,ID,POINT (124.8659 -9.0871),True
2060,2060,1381,150000,False,substation,False,transmission,0.0,114.866,-0.8678,ID,POINT (114.866 -0.8678),True
2061,2061,1382,150000,False,substation,False,transmission,0.0,116.204,-8.6996,ID,POINT (116.204 -8.6996),True
2062,2062,1383,150000,False,substation,False,transmission,0.0,116.0749,-8.6312,ID,POINT (116.0749 -8.6312),True
2063,2063,1384,150000,False,substation,False,transmission,0.0,116.291,-8.8136,ID,POINT (116.291 -8.8136),True
2064,2064,1385,70000,False,substation,False,transmission,0.0,121.6728,-8.8448,ID,POINT (121.6728 -8.8448),True
2065,2065,1386,70000,False,substation,False,transmission,0.0,120.9998,-8.7808,ID,POINT (120.9998 -8.7808),True
2066,2066,1387,150000,False,substation,False,transmission,0.0,116.7076,-8.4251,ID,POINT (116.7076 -8.4251),True
2067,2067,1388,150000,False,substation,False,transmission,0.0,120.7039,-1.4114,ID,POINT (120.7039 -1.4114),True
2068,2068,1389,150000,False,substation,False,transmission,0.0,125.6916,-8.5405,TL,POINT (125.6916 -8.5405),True
2069,2069,1390,70000,False,substation,False,transmission,0.0,124.7149,1.4156,ID,POINT (124.7149 1.4156),True
2070,2070,1391,150000,False,substation,False,transmission,0.0,124.7952,1.178,ID,POINT (124.7952 1.178),True
2071,2071,1392,150000,False,substation,False,transmission,0.0,124.604,1.2191,ID,POINT (124.604 1.2191),True
2072,2072,1393,150000,False,substation,False,transmission,0.0,100.7661,-0.6191,ID,POINT (100.7661 -0.6191),True
2073,2073,1394,150000,False,substation,False,transmission,0.0,106.1011,-1.9021,ID,POINT (106.1011 -1.9021),True
2074,2074,1395,150000,False,substation,False,transmission,0.0,104.2442,-3.4452,ID,POINT (104.2442 -3.4452),True
2075,2075,1396,150000,False,substation,False,transmission,0.0,104.6469,-2.9285,ID,POINT (104.6469 -2.9285),True
2076,2076,1397,150000,False,substation,False,transmission,0.0,103.6196,-1.541,ID,POINT (103.6196 -1.541),True
2077,2077,1398,150000,False,substation,False,transmission,0.0,103.5426,-1.6885,ID,POINT (103.5426 -1.6885),True
2078,2078,1398,275000,False,substation,False,transmission,0.0,103.5436,-1.6875,ID,POINT (103.5436 -1.6875),False
2079,2079,1398,500000,False,substation,False,transmission,0.0,103.5446,-1.6865,ID,POINT (103.5446 -1.6865),False
2080,2080,1399,150000,False,substation,False,transmission,0.0,103.6796,-1.6758,ID,POINT (103.6796 -1.6758),True
2081,2081,1400,150000,False,substation,False,transmission,0.0,103.5431,-1.6035,ID,POINT (103.5431 -1.6035),True
2082,2082,1401,150000,False,substation,False,transmission,0.0,103.151,-1.7255,ID,POINT (103.151 -1.7255),True
2083,2083,1402,150000,False,substation,False,transmission,0.0,101.3546,0.4975,ID,POINT (101.3546 0.4975),True
2084,2084,1403,150000,False,substation,False,transmission,0.0,101.4628,0.5471,ID,POINT (101.4628 0.5471),True
2085,2085,1404,150000,False,substation,False,transmission,0.0,116.1533,-8.3658,ID,POINT (116.1533 -8.3658),True
2086,2086,1405,150000,False,substation,False,transmission,0.0,106.2529,-6.9496,ID,POINT (106.2529 -6.9496),True
