,id,Type,Region,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.power,tags.location,tags.generator:solar:tracking,other_tags,geometry,Country
18765,11096559145,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.49411759999997 15.15342689999996),TH
18766,11096578038,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.4910604 15.17351869999996),TH
18767,11096578039,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.4956938 15.17377549999996),TH
18768,11096578058,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.4857271 15.17351529999996),TH
18769,11096578059,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.4858172 15.17136729999996),TH
18770,11096578071,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.4952277 15.177488099999962),TH
18771,11096578095,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.505084 15.180590099999964),TH
18772,11096578096,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.5063884 15.179034099999964),TH
18773,11096583456,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.49572660000001 15.156094199999965),TH
18774,11096583457,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.4935731 15.157536699999964),TH
18775,11096583458,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.49152640000001 15.158270899999964),TH
18776,11096583459,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.4906231 15.160111699999964),TH
18777,11096583460,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.4903371 15.162397299999965),TH
18778,11096583461,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.4926291 15.164865),TH
18779,11096583462,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.4926462 15.166993599999966),TH
18780,11096583463,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.4935677 15.169017699999966),TH
18781,11096583464,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.4917467 15.171155499999966),TH
18782,11096611107,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.48457719999993 15.17569349999994),TH
18783,11096611108,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.48463149999994 15.178028),TH
18784,11096611109,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.49222669999993 15.182504299999941),TH
18785,11096611110,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.49190219999993 15.184795499999941),TH
18786,11096611111,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.49311019999993 15.186790799999942),TH
18787,11096611112,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.493014 15.188861499999943),TH
18788,11096611113,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.49099459999994 15.190648),TH
18789,11096640068,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.50956909999996 15.17239509999995),TH
18790,11096640069,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.50958729999996 15.17491329999995),TH
18791,11096640070,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.50788859999996 15.176788799999951),TH
18792,11096640100,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.52000559999996 15.177619399999953),TH
18793,11096640101,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.51996029999997 15.174694699999954),TH
18794,11096640102,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.51886079999997 15.179872099999955),TH
18795,11096640103,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.51911129999998 15.182002199999955),TH
18796,11096640104,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.51944519999998 15.184081899999955),TH
18797,11096643105,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,POINT (101.520087 15.186554299999955),TH
18803,11847814952,node,TH,NULL,47.0,gas,gas_turbine,generator,NULL,NULL,NULL,POINT (100.60192530000013 14.087925899999988),TH
18804,11847814953,node,TH,NULL,47.0,gas,gas_turbine,generator,NULL,NULL,NULL,POINT (100.60208690000013 14.087952599999987),TH
18805,11847814954,node,TH,NULL,24.0,NULL,steam_turbine,generator,NULL,NULL,NULL,POINT (100.60161680000013 14.087839599999986),TH
18806,11847814955,node,TH,NULL,31.0,gas,NULL,generator,NULL,NULL,NULL,POINT (100.60177380000013 14.089366899999986),TH
18807,12068737965,node,TH,NULL,77.0,NULL,NULL,generator,NULL,NULL,"{ ""tags.name:en"": ""Glow Energy Phase 4 Power Plant"", ""tags.source"": ""https:\/\/www.gpscgroup.com\/en\/business\/project\/687\/glow-energy-phase-4-plant;http:\/\/globalenergyobservatory.org\/geoid\/45302"" }",POINT (101.13380509999962 12.676762),TH
18808,12068737966,node,TH,NULL,328.0,NULL,NULL,generator,NULL,NULL,"{ ""tags.name:en"": ""Glow Energy Phase 5"", ""tags.source"": ""https:\/\/www.gpscgroup.com\/en\/business\/project\/12\/glow-energy-phase-5-plant;https:\/\/globalenergyobservatory.org\/form.php?pid=45299;https:\/\/www.glow.co.th\/en\/our-business\/business-lines\/cogeneration-business\/195\/glow-energy-phase-5"" }",POINT (101.13725959999962 12.676373),TH
18811,12868364211,node,TH,gasification,120.0,NULL,NULL,generator,NULL,NULL,NULL,POINT (100.65138229999965 13.532842199999948),TH
18812,12868364212,node,TH,gasification,120.0,NULL,NULL,generator,NULL,NULL,NULL,POINT (100.65156029999966 13.533163),TH
18834,277776875,area,MY,combustion,310.0,gas,combined_cycle,generator,NULL,NULL,"{ ""tags.building"": ""yes"", ""tags.operator"": ""TNB Generation Sdn Bhd"", ""tags.name"": ""Gelugor CCGT Power Plant"" }","POLYGON ((100.31514200000049 5.380806, 100.31468270000049 5.3807684, 100.31473890000049 5.3800888, 100.31543150000049 5.3801457, 100.31538200000048 5.3807423, 100.31514890000048 5.3807232, 100.31514200000049 5.380806))",MY
18835,278165038,area,MY,combustion,350.0,gas,combined_cycle,generator,NULL,NULL,"{ ""tags.building"": ""yes"" }","POLYGON ((100.37436649999987 5.375464799999985, 100.37346739999987 5.374959199999985, 100.37361369999986 5.374701499999985, 100.37451279999986 5.375207199999985, 100.37436649999987 5.375464799999985))",MY
