,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
66,Katende,Hydro,,PP,CD,64,,,0,0,0,2016,2016,2116,-6.3581,22.4472,,,
67,Lobito,CCGT,CCGT,PP,AO,20,,,0,0,0,2017.5,2017.5,2057.5,-12.37,13.57,,,
68,Lomati,Bioenergy,,PP,ZA,10.1,,,0,0,0,2013,2013,,-25.772,31.0406,,,
69,Lupohlo,Hydro,,PP,SZ,20.8,,,0,0,0,1977.2,1977.2,2077.2,-26.3763,31.1552,,,
70,Mhlume Mill,Bioenergy,,PP,SZ,14,,,0,0,0,2013,2013,,-26.0333,31.85,,,
71,Mtwara,CCGT,CCGT,PP,TZ,18,,,0,0,0,2010.4,2010.4,2050.4,-10.26,40.041,,,
72,Nakambala Sugar,Bioenergy,,PP,ZM,12.237,,,0,0,0,2013,2013,,-15.8333,27.7667,,,
73,Namibe,CCGT,CCGT,PP,AO,11.68,,,0,0,0,2017.5,2017.5,2057.5,-15.1961,12.1522,,,
74,Nchalo Mill,Bioenergy,,PP,MW,10,,,0,0,0,2013,2013,,-15.7833,35,,,
75,Neusberg,Hydro,,PP,ZA,10,,,0,0,0,1988,1988,2088,-28.772,20.7431,,,
76,Nyakato,CCGT,CCGT,PP,TZ,63,,,0,0,0,2012,2012,2052,-2.524,32.9662,,,
77,Rio Luachimo,Hydro,,PP,AO,16,,,0,0,0,1979.363636,1979.363636,2079.363636,-7.3,20.85,,,
78,Rutshuru,Hydro,,PP,CD,13.8,,,0,0,0,2015,2015,2115,-1.2258,29.46,,,
79,Sha,Hydro,,PP,CD,34.5,,,0,0,0,1971,1971,2071,-10.752,27.245,,,
80,Simunye Mill,Bioenergy,,PP,SZ,17,,,0,0,0,2013,2013,,-26.1778,31.9073,,,
81,Ubombo Mill,Bioenergy,,PP,SZ,13,,,0,0,0,2013,2013,,-26.7729,31.9416,,,
82,Ubungo Gas Songas,CCGT,CCGT,PP,TZ,207.5,,,0,0,0,2010.4,2010.4,2050.4,-6.7945,39.2086,,,
83,Arusha,CCGT,CCGT,PP,TZ,50,,,0,0,0,2010.4,2010.4,2050.4,-3.38340321,36.68338935,,,
84,Avon,CCGT,CCGT,PP,ZA,670,,,0,0,0,2016,2016,2056,-29.418913,31.157693,,,
85,Central De Quileva,CCGT,CCGT,PP,AO,84,,,0,0,0,2018,2018,2058,-12.38199,13.5921,,,
86,Dedisa,CCGT,CCGT,PP,ZA,335,,,0,0,0,2015,2015,2055,-33.743385,25.672819,,,
87,Dodoma,CCGT,CCGT,PP,TZ,55,,,0,0,0,2010.4,2010.4,2050.4,-6.158946464,35.74877104,,,
88,Francistown Apr,CCGT,CCGT,PP,BW,70,,,0,0,0,2010,2010,2050,-21.16721748,27.51881808,,,
89,Gigawatt Mozambique,CCGT,CCGT,PP,MZ,117,,,0,0,0,2015,2015,2055,-25.46206105,32.00378778,,,
90,Gigawatt Park,CCGT,CCGT,PP,MZ,119.6,,,0,0,0,2015,2015,2055,-24.65133439,32.13541401,,,
91,Karpowership Mozambique Mehmet Bey,CCGT,CCGT,PP,MZ,125,,,0,0,0,2018,2018,2058,-14.554565,40.666173,,,
