ANO;GRANDE REGIÃO;UF;MUNICÍPIO;CÓDIGO IBGE;PRODUTO;VENDAS
2020;REGIÃO NORDESTE;BA;FORMOSA DO RIO PRETO;2911105;QUEROSENE DE AVIAÇÃO;657274
2020;REGIÃO NORDESTE;BA;PORTO SEGURO;2925303;QUEROSENE DE AVIAÇÃO;11875312
2020;REGIÃO NORDESTE;BA;PIATA;2924306;QUEROSENE DE AVIAÇÃO;4549
2020;REGIÃO NORDESTE;BA;RIACHAO DAS NEVES;2926202;QUEROSENE DE AVIAÇÃO;595819
2020;REGIÃO NORDESTE;BA;SAO DESIDERIO;2928901;QUEROSENE DE AVIAÇÃO;2818391
2020;REGIÃO NORDESTE;BA;SALVADOR;2927408;QUEROSENE DE AVIAÇÃO;68526444
2020;REGIÃO NORDESTE;BA;PAULO AFONSO;2924009;QUEROSENE DE AVIAÇÃO;69981
2020;REGIÃO NORDESTE;BA;MACAUBAS;2919801;QUEROSENE DE AVIAÇÃO;17519
2020;REGIÃO NORDESTE;BA;LUIS EDUARDO MAGALHAES;2919553;QUEROSENE DE AVIAÇÃO;3680350
2020;REGIÃO NORDESTE;BA;MEDEIROS NETO;2921104;QUEROSENE DE AVIAÇÃO;5000
2020;REGIÃO NORDESTE;BA;PARIPIRANGA;2923803;QUEROSENE DE AVIAÇÃO;378
2020;REGIÃO NORDESTE;BA;MUCUGE;2921906;QUEROSENE DE AVIAÇÃO;6864
2020;REGIÃO NORDESTE;BA;CANAVIEIRAS;2906303;QUEROSENE DE AVIAÇÃO;4329
2020;REGIÃO NORTE;AM;CARAUARI;1301001;QUEROSENE DE AVIAÇÃO;358000
2020;REGIÃO NORTE;AM;BORBA;1300805;QUEROSENE DE AVIAÇÃO;6326
2020;REGIÃO NORTE;AM;COARI;1301209;QUEROSENE DE AVIAÇÃO;1682003
2020;REGIÃO NORTE;AM;NOVA OLINDA DO NORTE;1303106;QUEROSENE DE AVIAÇÃO;110881
2020;REGIÃO NORTE;AM;MANAUS;1302603;QUEROSENE DE AVIAÇÃO;79978612
2020;REGIÃO NORDESTE;AL;SAO JOSE DA LAJE;2708303;QUEROSENE DE AVIAÇÃO;34256
2020;REGIÃO NORTE;AC;RIO BRANCO;1200401;QUEROSENE DE AVIAÇÃO;5972863
2020;REGIÃO NORTE;AC;CRUZEIRO DO SUL;1200203;QUEROSENE DE AVIAÇÃO;491936
2020;REGIÃO NORDESTE;AL;ARAPIRACA;2700300;QUEROSENE DE AVIAÇÃO;30490
2020;REGIÃO NORDESTE;AL;RIO LARGO;2707701;QUEROSENE DE AVIAÇÃO;20908172
2020;REGIÃO NORDESTE;AL;MACEIO;2704302;QUEROSENE DE AVIAÇÃO;3419158
2020;REGIÃO NORDESTE;BA;ALCOBACA;2900801;QUEROSENE DE AVIAÇÃO;820
2020;REGIÃO NORDESTE;BA;ALAGOINHAS;2900702;QUEROSENE DE AVIAÇÃO;25967
2020;REGIÃO NORDESTE;BA;ARATACA;2902252;QUEROSENE DE AVIAÇÃO;1142
2020;REGIÃO NORDESTE;BA;BRUMADO;2904605;QUEROSENE DE AVIAÇÃO;59649
2020;REGIÃO NORDESTE;BA;BARREIRAS;2903201;QUEROSENE DE AVIAÇÃO;1098211
2020;REGIÃO NORDESTE;BA;ABAIRA;2900108;QUEROSENE DE AVIAÇÃO;2157
2020;REGIÃO NORTE;AM;TABATINGA;1304062;QUEROSENE DE AVIAÇÃO;2059859
2020;REGIÃO NORTE;AM;SAO GABRIEL DA CACHOEIRA;1303809;QUEROSENE DE AVIAÇÃO;1177398
2020;REGIÃO NORTE;AM;TEFE;1304203;QUEROSENE DE AVIAÇÃO;2406901
2020;REGIÃO NORTE;AP;MACAPA;1600303;QUEROSENE DE AVIAÇÃO;3852251
2020;REGIÃO NORTE;AP;AMAPA;1600105;QUEROSENE DE AVIAÇÃO;29556
2020;REGIÃO SUDESTE;ES;JOAO NEIVA;3203130;QUEROSENE DE AVIAÇÃO;3398
2020;REGIÃO SUDESTE;ES;COLATINA;3201506;QUEROSENE DE AVIAÇÃO;31799
2020;REGIÃO SUDESTE;ES;SAO DOMINGOS DO NORTE;3204658;QUEROSENE DE AVIAÇÃO;5000
2020;REGIÃO SUDESTE;ES;SERRA;3205002;QUEROSENE DE AVIAÇÃO;22215
2020;REGIÃO SUDESTE;ES;SAO MATEUS;3204906;QUEROSENE DE AVIAÇÃO;25000
2020;REGIÃO SUDESTE;ES;CARIACICA;3201308;QUEROSENE DE AVIAÇÃO;26071
2020;REGIÃO CENTRO-OESTE;DF;BRASILIA;5300108;QUEROSENE DE AVIAÇÃO;172669667
2020;REGIÃO NORDESTE;CE;RUSSAS;2311801;QUEROSENE DE AVIAÇÃO;818
2020;REGIÃO SUDESTE;ES;AGUA DOCE DO NORTE;3200169;QUEROSENE DE AVIAÇÃO;517
2020;REGIÃO SUDESTE;ES;CACHOEIRO DE ITAPEMIRIM;3201209;QUEROSENE DE AVIAÇÃO;21477
2020;REGIÃO SUDESTE;ES;ARACRUZ;3200607;QUEROSENE DE AVIAÇÃO;148598
2020;REGIÃO CENTRO-OESTE;GO;ARAGARCAS;5201702;QUEROSENE DE AVIAÇÃO;1230
2020;REGIÃO CENTRO-OESTE;GO;APARECIDA DE GOIANIA;5201405;QUEROSENE DE AVIAÇÃO;136066
2020;REGIÃO CENTRO-OESTE;GO;BELA VISTA DE GOIAS;5203302;QUEROSENE DE AVIAÇÃO;2035
2020;REGIÃO CENTRO-OESTE;GO;BRITANIA;5203807;QUEROSENE DE AVIAÇÃO;29146
2020;REGIÃO CENTRO-OESTE;GO;BOM JESUS;5203500;QUEROSENE DE AVIAÇÃO;36344
2020;REGIÃO CENTRO-OESTE;GO;ANAPOLIS;5201108;QUEROSENE DE AVIAÇÃO;10693670
2020;REGIÃO SUDESTE;ES;VIANA;3205101;QUEROSENE DE AVIAÇÃO;10253
2020;REGIÃO SUDESTE;ES;VENDA NOVA DO IMIGRANTE;3205069;QUEROSENE DE AVIAÇÃO;11365
2020;REGIÃO SUDESTE;ES;VILA VELHA;3205200;QUEROSENE DE AVIAÇÃO;67641
2020;REGIÃO CENTRO-OESTE;GO;AMERICANO DO BRASIL;5200852;QUEROSENE DE AVIAÇÃO;390
2020;REGIÃO SUDESTE;ES;VITORIA;3205309;QUEROSENE DE AVIAÇÃO;15348469
2020;REGIÃO NORDESTE;CE;PEREIRO;2310803;QUEROSENE DE AVIAÇÃO;16579
2020;REGIÃO NORDESTE;CE;ARACATI;2301109;QUEROSENE DE AVIAÇÃO;79591
