name,bus0,bus1,carrier,s_nom,length,investment_cost,underwater_fraction
US0 42_AC|US0 48_AC,US0 42_AC,US0 48_AC,AC,2612.697,348.5991374,569537.6871,0.0
US0 42_AC|US0 52_AC,US0 42_AC,US0 52_AC,AC,1876.703,350.94877379999997,442826.3835,0.0
US0 43_AC|US0 44_AC,US0 43_AC,US0 44_AC,AC,483.517,246.2773002,385165.029,0.0
US0 43_AC|US0 47_AC,US0 43_AC,US0 47_AC,AC,3200.397,482.9790274,698035.3934999999,0.0
US0 44_AC|US0 47_AC,US0 44_AC,US0 47_AC,AC,844.379,311.9544656,407608.28549999994,0.0
US0 44_AC|US0 48_AC,US0 44_AC,US0 48_AC,AC,414.0,648.0329378,865557.0885,0.0
US0 44_AC|US0 49_AC,US0 44_AC,US0 49_AC,AC,402.0,555.0935528,744148.4871,0.0
US0 44_AC|US0 50_AC,US0 44_AC,US0 50_AC,AC,17.04,683.6154452,833778.6732,0.0
US0 48_AC|US0 51_AC,US0 48_AC,US0 51_AC,AC,3545.316,387.8348466,516427.5294,0.0
US0 48_AC|US0 52_AC,US0 48_AC,US0 52_AC,AC,345.109,437.6439196,625494.2985,0.0
US0 48_AC|US0 53_AC,US0 48_AC,US0 53_AC,AC,587.302,358.2229906,489384.4542,0.0
US0 49_AC|US0 50_AC,US0 49_AC,US0 50_AC,AC,813.609,93.6957748,144225.1629,0.0
US0 49_AC|US0 51_AC,US0 49_AC,US0 51_AC,AC,402.0,453.10967700000003,594637.9527,0.0
US0 50_AC|US0 51_AC,US0 50_AC,US0 51_AC,AC,939.0,407.0181794,527125.3314,0.0
US0 50_AC|US0 58_AC,US0 50_AC,US0 58_AC,AC,911.352,186.3776654,231472.06410000002,0.0
US0 51_AC|US0 59_AC,US0 51_AC,US0 59_AC,AC,5506.697,177.9608172,228910.2324,0.0
US0 52_AC|US0 53_AC,US0 52_AC,US0 53_AC,AC,695.224,241.52974720000003,380316.56580000004,0.0
US0 52_AC|US0 133_AC,US0 52_AC,US0 133_AC,AC,181.29,1108.8513533999999,1449396.5021999998,0.0
US0 52_AC|US0 57_AC,US0 52_AC,US0 57_AC,AC,700.0,906.2676342,1265933.2938,0.0
